fecha,Chuvia,refacho_max,Temperatura_med
2014-06-16 00:00:00.0,0.0,46.80,18.70
2014-06-17 00:00:00.0,0.0,40.50,20.30
2014-06-18 00:00:00.0,0.0,31.90,20.00
2014-06-19 00:00:00.0,0.0,28.30,18.80
2014-06-20 00:00:00.0,0.8,34.80,18.10
2014-06-21 00:00:00.0,9.0,45.40,17.10
2014-06-22 00:00:00.0,6.1,44.00,17.30
2014-06-23 00:00:00.0,9.2,58.30,16.90
2014-06-24 00:00:00.0,0.0,36.00,16.90
2014-06-25 00:00:00.0,0.0,24.20,16.20
2014-06-26 00:00:00.0,0.0,31.20,16.00
2014-06-27 00:00:00.0,3.4,34.90,16.40
2014-06-28 00:00:00.0,19.2,49.40,15.70
2014-06-29 00:00:00.0,0.0,29.00,15.70
2014-06-30 00:00:00.0,9.4,46.80,14.40
2014-07-01 00:00:00.0,2.2,36.30,15.10
2014-07-02 00:00:00.0,0.0,51.30,16.60
2014-07-03 00:00:00.0,0.0,41.60,18.30
2014-07-04 00:00:00.0,0.0,34.20,17.80
2014-07-05 00:00:00.0,9.5,62.10,16.80
2014-07-06 00:00:00.0,22.5,43.90,16.30
2014-07-07 00:00:00.0,0.0,32.30,16.00
2014-07-08 00:00:00.0,2.3,44.20,16.00
2014-07-09 00:00:00.0,0.0,56.80,16.60
2014-07-10 00:00:00.0,0.0,58.10,17.40
2014-07-11 00:00:00.0,0.0,48.30,17.70
2014-07-12 00:00:00.0,0.0,44.60,17.70
2014-07-13 00:00:00.0,0.0,36.00,18.60
2014-07-14 00:00:00.0,0.0,40.50,20.20
2014-07-15 00:00:00.0,0.0,31.60,21.20
2014-07-16 00:00:00.0,0.0,33.40,22.40
2014-07-17 00:00:00.0,0.0,45.70,17.20
2014-07-18 00:00:00.0,9.1,38.30,16.40
2014-07-19 00:00:00.0,34.6,39.00,16.90
2014-07-20 00:00:00.0,1.0,32.30,17.80
2014-07-21 00:00:00.0,0.0,39.00,18.00
2014-07-22 00:00:00.0,0.0,30.10,22.30
2014-07-23 00:00:00.0,0.0,24.20,20.80
2014-07-24 00:00:00.0,0.0,44.00,19.90
2014-07-25 00:00:00.0,0.0,44.60,19.50
2014-07-26 00:00:00.0,0.0,40.50,21.50
2014-07-27 00:00:00.0,0.0,38.70,21.90
2014-07-28 00:00:00.0,0.0,50.50,19.50
2014-07-29 00:00:00.0,0.0,55.00,19.10
2014-07-30 00:00:00.0,0.0,41.90,20.40
2014-07-31 00:00:00.0,0.0,34.20,20.60
2014-08-01 00:00:00.0,0.0,41.30,17.90
2014-08-02 00:00:00.0,7.5,37.20,18.00
2014-08-03 00:00:00.0,1.4,25.60,17.20
2014-08-04 00:00:00.0,0.0,26.40,17.50
2014-08-05 00:00:00.0,0.0,27.90,18.90
2014-08-06 00:00:00.0,0.0,31.60,19.20
2014-08-07 00:00:00.0,0.0,40.80,19.90
2014-08-08 00:00:00.0,8.5,37.10,19.30
2014-08-09 00:00:00.0,5.1,46.40,19.30
2014-08-10 00:00:00.0,7.4,45.40,17.50
2014-08-11 00:00:00.0,0.0,22.60,16.50
2014-08-12 00:00:00.0,0.0,50.20,16.40
2014-08-13 00:00:00.0,0.0,32.70,16.00
2014-08-14 00:00:00.0,0.0,31.20,15.50
2014-08-15 00:00:00.0,0.0,59.50,15.70
2014-08-16 00:00:00.0,0.0,49.10,17.40
2014-08-17 00:00:00.0,0.0,40.10,19.40
2014-08-18 00:00:00.0,0.0,43.10,18.60
2014-08-19 00:00:00.0,0.0,40.10,17.40
2014-08-20 00:00:00.0,0.0,39.70,17.00
2014-08-21 00:00:00.0,0.0,38.50,16.90
2014-08-22 00:00:00.0,0.0,45.70,16.50
2014-08-23 00:00:00.0,0.0,39.80,16.30
2014-08-24 00:00:00.0,0.0,24.70,17.70
2014-08-25 00:00:00.0,0.7,46.40,17.10
2014-08-26 00:00:00.0,5.8,50.50,19.00
2014-08-27 00:00:00.0,2.7,55.80,19.00
2014-08-28 00:00:00.0,0.0,26.60,18.00
2014-08-29 00:00:00.0,0.0,44.60,17.10
2014-08-30 00:00:00.0,0.0,36.80,19.80
2014-08-31 00:00:00.0,0.0,35.70,22.00
2014-09-01 00:00:00.0,0.0,34.20,23.50
2014-09-02 00:00:00.0,0.0,32.30,23.00
2014-09-03 00:00:00.0,0.0,29.70,19.80
2014-09-04 00:00:00.0,0.0,17.80,19.30
2014-09-05 00:00:00.0,0.0,22.70,19.80
2014-09-06 00:00:00.0,2.6,41.30,19.00
2014-09-07 00:00:00.0,1.7,33.80,18.30
2014-09-08 00:00:00.0,0.7,26.70,20.40
2014-09-09 00:00:00.0,0.0,27.90,21.00
2014-09-10 00:00:00.0,0.0,34.20,20.50
2014-09-11 00:00:00.0,0.0,35.30,21.70
2014-09-12 00:00:00.0,0.0,36.80,20.60
2014-09-13 00:00:00.0,0.0,27.90,20.50
2014-09-14 00:00:00.0,6.9,33.10,17.70
2014-09-15 00:00:00.0,7.0,36.40,18.70
2014-09-16 00:00:00.0,29.9,61.70,19.00
2014-09-17 00:00:00.0,16.1,55.80,17.90
2014-09-18 00:00:00.0,27.0,60.50,17.30
2014-09-19 00:00:00.0,17.4,47.20,17.30
2014-09-20 00:00:00.0,0.7,51.70,18.10
2014-09-21 00:00:00.0,0.0,37.50,19.00
2014-09-22 00:00:00.0,0.0,51.30,18.20
2014-09-23 00:00:00.0,0.0,36.10,17.10
2014-09-24 00:00:00.0,0.0,45.40,15.60
2014-09-25 00:00:00.0,0.0,35.30,16.30
2014-09-26 00:00:00.0,0.0,27.50,17.60
2014-09-27 00:00:00.0,0.7,26.30,18.00
2014-09-28 00:00:00.0,0.0,26.70,17.40
2014-09-29 00:00:00.0,0.0,23.40,16.60
2014-09-30 00:00:00.0,0.0,36.80,15.70
2014-10-01 00:00:00.0,0.0,37.90,17.80
2014-10-02 00:00:00.0,0.0,30.40,19.40
2014-10-03 00:00:00.0,0.0,25.20,18.60
2014-10-04 00:00:00.0,1.1,43.50,15.20
2014-10-05 00:00:00.0,0.0,30.40,14.40
2014-10-06 00:00:00.0,4.7,46.80,15.30
2014-10-07 00:00:00.0,10.6,52.80,15.50
2014-10-08 00:00:00.0,16.2,59.10,15.00
2014-10-09 00:00:00.0,7.7,23.40,13.30
2014-10-10 00:00:00.0,0.0,23.80,13.30
2014-10-11 00:00:00.0,0.0,30.90,14.00
2014-10-12 00:00:00.0,2.5,26.00,14.40
2014-10-13 00:00:00.0,12.7,47.20,12.50
2014-10-14 00:00:00.0,0.0,52.80,13.50
2014-10-15 00:00:00.0,44.7,55.00,17.10
2014-10-16 00:00:00.0,35.8,44.20,15.80
2014-10-17 00:00:00.0,7.4,72.50,17.90
2014-10-18 00:00:00.0,0.0,49.90,18.30
2014-10-19 00:00:00.0,0.0,31.50,17.90
2014-10-20 00:00:00.0,0.0,29.30,19.80
2014-10-21 00:00:00.0,0.0,39.00,18.80
2014-10-22 00:00:00.0,0.0,23.80,17.80
2014-10-23 00:00:00.0,0.0,23.80,18.00
2014-10-24 00:00:00.0,0.0,23.00,18.40
2014-10-25 00:00:00.0,0.0,32.30,18.50
2014-10-26 00:00:00.0,0.0,19.30,18.40
2014-10-27 00:00:00.0,0.0,25.20,17.00
2014-10-28 00:00:00.0,0.0,39.70,17.70
2014-10-29 00:00:00.0,0.0,24.50,17.00
2014-10-30 00:00:00.0,0.0,26.40,17.80
2014-10-31 00:00:00.0,7.2,58.00,17.50
2014-11-01 00:00:00.0,0.0,21.90,14.20
2014-11-02 00:00:00.0,14.1,46.80,12.50
2014-11-03 00:00:00.0,41.1,71.60,11.90
